Time,Voltage set,Voltage measured
2.0008605000002717,0,0.001036
6.289433899999494,0.5,0.50046
10.588378399999783,1.0,1.00068
14.837888800000655,1.5,1.501
19.135633800000505,2.0,2.0011
23.386381599999368,2.5,2.5019
27.633843100000377,3.0,3.0018
31.883070100000623,3.5,3.502
36.132675999999265,4.0,4.0022
40.380679100000634,4.5,4.502
44.628937999999835,5.0,5.0014
48.87832370000069,5.5,5.501
53.127863399999114,6.0,6.0011
57.37531040000067,6.5,6.5013
61.625191999999515,7.0,7.0021
65.8741442999999,7.5,7.5024
70.12295079999967,8.0,8.0028
74.3722173999995,8.5,8.5027
78.6215544000006,9.0,9.0026
82.86994279999999,9.5,9.5027
87.11788610000076,10.0,10.0026
